conference_name,priority_level,attendees_500_plus,academic_acceptance_level,submission_tracks,travel_accommodation_sponsorship,cfp_deadline_MM-DD,cft_deadline_MM-DD,cfw_deadline_MM-DD,cfv_deadline_MM-DD,conference_start_date,conference_end_date,city,country,website_or_cfp_link,cft_link,cfw_link,cfv_link,conference_type,timezone,notes,last_verified_date,venue_pattern
DefCamp Cluj/Bucharest,High,Yes,Industry,Talks|Trainings|Workshops,Unknown,06-15,TBD,TBD,TBD,2026-11-12,2026-11-13,Bucharest,Romania,https://def.camp/call-for-papers/,https://sessionize.com/defcamp-2025,https://def.camp/,,In-Person,Europe/Bucharest,Estimated from 2025 official DefCamp pattern: Bucharest main event in mid-November with rolling CFP windows starting 06-15,2026-03-30,Mostly Fixed
DeepSec,High,Yes,Mixed,Talks|Trainings|Workshops,Partial,07-31,07-31,TBD,TBD,2026-11-17,2026-11-20,Vienna,Austria,https://deepsec.net/cfp.html,https://deepsec.net/cfp.html,,,In-Person,Europe/Vienna,DeepSec IDSC In-Depth Security Conference Nov 17-20 2026 Vienna conference hotel Linke Wienzeile 1150; two days talks two days trainings 45+5 min talks; vendor-neutral; speaker travel up to EUR 800 and 2 hotel nights; DeepINTEL security intelligence track same CFP; U21 young researchers; tickets pretix.eu/deepsec/deepsec2026; CFP open until Jul 31 2026 23:59 CEST cfp@deepsec.net; https://www.linkedin.com/company/deepsec/,2026-06-01,Fixed
DeveloperWeek,High,Yes,Industry,Talks|Workshops,Yes,10-13,TBD,TBD,TBD,2024-02-21,2024-02-29,San Francisco,United States,https://www.developerweek.com/,,https://www.developerweek.com/,,In-Person,America/Los_Angeles,Main 2024 CFP closed October 13 2023,2026-03-30,Unknown
DevOpsDays Salt Lake City,Medium,Yes,Industry,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-05-11,2026-05-12,Salt Lake City,United States,https://slcdevopsdays.org/,,https://slcdevopsdays.org/,,In-Person,America/Denver,Estimated from recent May editions (use as planning placeholder),2026-03-30,Unknown
DIMVA,Medium,Yes,Academic,Talks,Unknown,02-18,,,TBD,2026-07-01,2026-07-03,Chania,Greece,https://www.dimva.org/dimva2026/,,,,In-Person,Europe/Athens,Two-cycle CFP and cycle 2 submission deadline Feb 18 with LNCS page limits,2026-03-30,Rotating
Ekoparty Buenos Aires,High,Yes,Industry,Talks|Trainings|Workshops,Yes,TBD,TBD,TBD,TBD,2026-11-01,2026-11-30,Buenos Aires,Argentina,https://www.ekoparty.org/,https://ekoparty.org/2025/12/04/call-for-tranings-buenos-aires-miami/,https://www.ekoparty.org/,,In-Person,America/Argentina/Buenos_Aires,"Merged Ekoparty (2022), Ekoparty Security Conference (2024), and Ekoparty Buenos Aires into one canonical Buenos Aires row; keep current cycle tracking and retain historical continuity in this single record",2026-03-30,Mostly Fixed
Ekoparty Miami,Medium,Yes,Industry,Talks|Trainings,Unknown,03-20,TBD,TBD,TBD,2026-05-21,2026-05-22,Miami,United States,https://sessionize.com/ekoparty-security-conference-2026-miami/,https://sessionize.com/ekoparty-security-conference-2026-miami/,,,In-Person,America/New_York,CFP deadline was March 20 2026 (now closed); conference May 21-22 2026,2026-04-01,Unknown
ESORICS,Medium,Yes,Academic,Talks,Unknown,04-21,,,TBD,2026-09-14,2026-09-18,Rome,Italy,https://www.easychair.org/cfp/ESORICS-2026,,,,In-Person,Europe/Rome,Two-cycle model and spring deadline Apr 21 with 16-page limit in CFP,2026-03-30,Rotating
Ethiack,Low,No,Industry,Talks,Unknown,TBD,,,TBD,TBD,TBD,TBD,TBD,https://ethiack.com/,,,,In-Person,UTC,Added from backlog list,2026-03-30,Unknown
FIRST Conference,Medium,Yes,Industry,Talks,Unknown,12-03,,,TBD,2026-06-14,2026-06-19,Denver,United States,https://www.first.org/conference/2026/,,,,In-Person,America/Denver,38th Annual FIRST Conference Jun 14-19 2026 in Denver CO; CfS closed Dec 3 2025,2026-04-01,Rotating
FIRSTCON Copenhagen,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,TBD,TBD,Copenhagen,Denmark,https://www.first.org/conference/,,,,In-Person,Europe/Copenhagen,Added from FIRSTCON Copenhagen ENISA note,2026-03-30,Unknown
fwd:cloudsec Europe,High,Yes,Industry,Talks,Unknown,06-12,TBD,TBD,TBD,2026-09-07,2026-09-08,London,United Kingdom,https://pretalx.com/fwd-cloudsec-europe-2026/cfp,,,,In-Person,Europe/London,Non-profit independent cloud security conference; third European edition Sep 7-8 2026 Park Plaza Victoria London; practitioner-focused 20 or 40 min talks Pretalx CFP open final round closes Jun 12 2026 per https://fwdcloudsec.org/conference/europe/cfp.html; round one closed May 1; notifications Jul 3; live-streamed; https://fwdcloudsec.org/conference/europe/,2026-06-01,Rotating
fwd:cloudsec North America,High,Yes,Industry,Talks,Partial,03-20,TBD,TBD,TBD,2026-06-01,2026-06-02,Bellevue,United States,https://fwdcloudsec.org/conference/north-america/,https://pretalx.com/fwd-cloudsec-2026/cfp,,,In-Person,America/Los_Angeles,Non-profit independent cloud security conference; Jun 1-2 2026 Meydenbauer Center Bellevue WA near AWS and Microsoft HQ; 20 or 40 min talks live-streamed; Pretalx CFP closed Mar 20 2026 PDT final round per https://fwdcloudsec.org/conference/north-america/cfp.html; speaker hotel benefits when applicable; https://fwdcloudsec.org/,2026-06-01,Mostly Fixed
German OWASP Day,Medium,Unknown,Industry,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2025-11-25,2025-11-26,Düsseldorf,Germany,https://god.owasp.de/2025/,https://god.owasp.de/2025/,https://god.owasp.de/2025/,,In-Person,Europe/Berlin,Event dates verified from official German OWASP Day 2025 page,2026-03-30,Mostly Fixed
GISEC Global,Medium,Yes,Industry,Talks|Workshops|CTF,Yes,TBD,TBD,TBD,TBD,2026-04-21,2026-04-23,Dubai,United Arab Emirates,https://www.gisec.ae/,,https://www.gisec.ae/,,In-Person,Asia/Dubai,Merged GISEC (2024) and GISEC Global into one canonical row; keep current cycle dates while preserving broader track/sponsorship metadata from verified 2024 entry,2026-03-30,Unknown
GrrCon,Medium,Yes,Industry,Talks,Unknown,05-01,,,TBD,2026-10-01,2026-10-02,Grand Rapids,United States,https://grrcon.com/cfp/,,,,In-Person,America/Detroit,Estimated from 2025 official GrrCON timing: early-October Thu-Fri conference window and CFP round 1 by 05-01,2026-03-30,Mostly Fixed
H2HC,Medium,Yes,Industry,Talks|Workshops,Yes,10-01,TBD,TBD,TBD,2024-12-14,2024-12-15,Sao Paulo,Brazil,https://www.h2hc.com.br/,,https://www.h2hc.com.br/,,In-Person,America/Sao_Paulo,CFP deadline October 1 2024 and event held December 14-15 2024,2026-03-30,Unknown
HEK.SI,Medium,No,Industry,Talks,Unknown,TBD,TBD,TBD,TBD,2026-02-11,2026-02-12,Ljubljana,Slovenia,https://www.hek.si/en/,,,,Hybrid,Europe/Ljubljana,Main ethical hacking conference Slovenia annual since ~2012 Palsit organizer; Feb 11-12 2026 concluded; day 1 in-person Fantastični prostori Stegne 23a Ljubljana day 2 online Zoom; 120+ attendees 27+ speakers; curated program no public speaker CfP; premium ticket bundles INFOSEK Sep 2026; 2027 not announced watch hek.si,2026-06-04,Fixed
HITCON,High,Yes,Mixed,Talks|Workshops|CTF,Unknown,05-17,TBD,TBD,TBD,2026-08-21,2026-08-22,Taipei,Taiwan,https://hitcon.org/2026/en-US/cfp/,,,,In-Person,Asia/Taipei,HITCON 2026 Hacks In Taiwan Conference 台灣駭客年會 theme When AI Acts agentic systems; Aug 21-22 Humanities Social Sciences Building Academia Sinica Nangang Taipei; HIT CHROOT Academia Sinica IIS; 40 min talks and 80 min Hacking 101 track; CFP closed May 17 2026 reviewboard@hitcon.org; tickets https://hitcon.kktix.cc/events/hitcon-2026; https://www.linkedin.com/company/hacks-in-taiwan-conference/; https://hitcon.org/,2026-06-01,Fixed
Hack in Paris,Low,Yes,Industry,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-09-22,2026-09-26,Paris,France,https://www.hackinparis.com/,https://www.hackinparis.com/,https://www.hackinparis.com/,,In-Person,Europe/Paris,Estimated from prior edition timing pattern (needs confirmation),2026-03-30,Unknown
Hack.lu,Medium,Yes,Industry,Talks|Workshops|CTF,Yes,05-31,TBD,TBD,TBD,2026-10-20,2026-10-23,Luxembourg City,Luxembourg,https://2026.hack.lu/,,https://hack.lu/,,In-Person,Europe/Luxembourg,20th edition Oct 20-23 2026 at Parc Hotel Alvisse; CFP deadline May 31 2026 at 23:59 Luxembourg time,2026-04-01,Unknown
HackAIcon,Low,No,Industry,Talks,Unknown,TBD,,,TBD,TBD,TBD,TBD,TBD,https://www.hackaicon.com/,,,,In-Person,UTC,Added from backlog list,2026-03-30,Unknown
HackAstra,Medium,Yes,Industry,CTF|Talks|Panels,Unknown,TBD,TBD,TBD,TBD,2026-05-29,2026-06-06,Kathmandu,Nepal,https://hackastra.tech/,,,,In-Person,Asia/Kathmandu,Hackअस्त्र 2026 national cybersecurity event Ethical HCK Community Herald College Kathmandu; CTF qualifiers concluded May 2026 439 teams 1100+ users top 12 to on-site finale Jun 5-6 2026; panels Cyberगफ sessions Cyberप्रदर्शन expo; free registration; official CTF partner Hack@Sec https://hackasec.team https://www.linkedin.com/company/teamhackasec/; https://ctftime.org/team/135426,2026-06-01,Fixed
HackTheBay,Medium,No,Industry,Talks|Workshops|CTF|Villages,Unknown,TBD,TBD,TBD,TBD,2026-03-23,2026-03-23,San Francisco,United States,https://www.hackthebay.org/,,,,In-Person,America/Los_Angeles,HackTheBay 3.0 Mar 23 2026 11am-5pm PUBLIC Works 161 Erie St SF; Pacific Hackers Association 501c3 nonprofit; Security Week slot between BSidesSF and RSAC; workshop-oriented edition lockpicking soldering villages CTF CMD+CTRL PentesterLab prizes electronic badges; 2026 concluded; watch hackthebay.org for 2027; https://www.linkedin.com/showcase/hackthebay-conference/,2026-06-01,Fixed
Hackfest,High,Yes,Industry,Talks|Workshops|Trainings|CTF|Villages,Unknown,08-31,TBD,TBD,TBD,2026-10-29,2026-10-31,Quebec City,Canada,https://cfp.hackfest.ca/hf2026/,,,,In-Person,America/Toronto,Hackfest 2026 Level UP Oct 29-31 Quebec City Convention Centre; POLAR exec banquet Oct 29; trainings Oct 26-30; 48h CTF villages AfterDark; CFP Pretalx round 1 May 1-Jun 30 round 2 Jul 1-Aug 24 schedule lists close Aug 31; 20 or 50 min talks 1-4h workshops; https://hackfest.ca/en/; https://www.linkedin.com/company/hackfest/,2026-06-01,Fixed
Hexacon Paris,Low,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-10-04,2026-10-05,Paris,France,https://hexacon.fr/,,,,In-Person,Europe/Paris,Added from backlog list,2026-03-30,Unknown
IEEE CSF,Medium,No,Academic,Talks,Unknown,01-29,,,TBD,2026-07-26,2026-07-29,Lisbon,Portugal,https://csf2026.ieee-security.org/cfp.html,,,,In-Person,Europe/Lisbon,Rolling deadlines with winter cycle Jan 29 and symposium in Lisbon,2026-03-30,Rotating
IEEE Symposium on Security and Privacy,High,Yes,Academic,Talks,Unknown,11-13,TBD,TBD,TBD,2026-05-18,2026-05-20,San Francisco,United States,https://sp2026.ieee-security.org/cfpapers.html,,,,In-Person,America/Los_Angeles,Official SP 2026 site lists symposium dates May 18-20 2026 in San Francisco (workshops on May 21),2026-03-31,Mostly Fixed
Infosecurity Europe,High,Yes,Industry,Talks|Panels|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-06-02,2026-06-04,London,United Kingdom,https://www.infosecurityeurope.com/en-gb.html,,,,In-Person,Europe/London,Official site lists Jun 2-4 2026 at ExCeL London; large industry expo plus curated conference programme; no public open CfP for 2026—keynotes and theatres announced; Strategy Talks historically exhibitor/sponsor-linked per call-for-speakers page (2024 cycle); visitor registration on official site,2026-06-01,Fixed
Insomni'hack,High,Yes,Industry,Talks|Workshops|CTF,Yes,08-23,08-23,TBD,TBD,2027-02-01,2027-02-05,Lausanne,Switzerland,https://cfp.insomnihack.ch/insomnihack-2027/cfp,,https://insomnihack.ch/workshops-2027/,,In-Person,Europe/Zurich,INSO27 18th edition Feb 1-5 2027 SwissTech Convention Center EPFL Lausanne; Orange Cyberdefense Switzerland since 2008; 5 days workshops Feb 1-3 talks Feb 4-5 world-class on-site CTF; CFP pretalx opened Jun 1 2026 closes Aug 23 45-min talks; CfW May 1-Aug 23; primary speaker economy travel 3 nights hotel conference networking dinner; early bird conf tickets Aug 1-Sep 30 2026; 2026 edition Mar 16-20 concluded; https://insomnihack.ch/ https://www.linkedin.com/showcase/insomnihack/,2026-06-01,Fixed
LocoMocoSec,Medium,Unknown,Industry,Talks,Unknown,TBD,TBD,TBD,TBD,2024-07-17,2024-07-18,Lihue,United States,https://locomocosec.com/,,,,In-Person,Pacific/Honolulu,Hawaiʻi Security Conference product/app/cloud security engineering; motto one track lots of flavor; 2024 Jul 17-18 Kalapaki Beach Kauai; 35 min talks engineering builders no vendor pitches; CFP closed Mar 31 2024; irregular Hawaii locations prior editions Waikiki; 2026 not announced watch locomocosec.com info@locomocosec.com; https://www.linkedin.com/company/locomocosec/,2026-06-01,Fixed
ISC2 Security Congress,Medium,Yes,Industry,Talks,Unknown,TBD,,,TBD,2026-10-26,2026-10-28,Aurora,United States,https://www.isc2.org/Congress,,,,In-Person,America/Denver,2026 Oct 26-28 at Gaylord Rockies Resort Aurora CO; CFP deadline not published,2026-04-01,Unknown
MadWeb San Jose,Medium,No,Academic,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2027-01-01,2027-12-31,San Jose,United States,https://madweb.work/,,https://madweb.work/,,In-Person,America/Los_Angeles,PhD level science conference candidate,2026-03-30,Unknown
masCon @ next.app devCon,High,Yes,Industry,Talks|Workshops|Panels|Unconference,Partial,07-01,TBD,TBD,TBD,2026-10-07,2026-10-09,Berlin,Germany,https://sessionize.com/nextapp26,,,,In-Person,Europe/Berlin,OWASP MAS mobile app security track within next.app devCon Oct 7-9 2026 at CityCube Berlin; shared Sessionize CFP opened Feb 18 closes Jul 1 2026 23:59 CEST; formats include keynotes lightning talks sessions workshops panels unconference office hours; ~6000 mobile dev audience; free for speakers travel case-by-case via speakers@nextappcon.com; distinct from OWASP MAScon at Global AppSec EU Vienna Jun 2026,2026-06-01,Mostly Fixed
Middle East Security Conference and Exhibition,Low,Yes,Industry,Talks|Exhibition,Yes,TBD,TBD,TBD,TBD,2024-11-01,2024-11-30,Riyadh,Saudi Arabia,https://www.mesce.org/,,,,In-Person,Asia/Riyadh,Added from requested 2024 conference list,2026-03-30,Unknown
NDC Oslo,High,Yes,Industry,Talks|Workshops,Partial,04-19,TBD,TBD,TBD,2026-09-14,2026-09-18,Oslo,Norway,https://ndcoslo.com/call-for-papers,,https://sessionize.com/ndc-oslo-2026/,,In-Person,Europe/Oslo,Official NDC Oslo 2026 site lists event dates (14-18 September 2026) and CFP deadline 04-19; Sessionize confirms speaker travel/accommodation coverage with exceptions,2026-03-30,Unknown
NDC Security,High,Yes,Industry,Talks|Trainings|Workshops,Yes,12-07,TBD,TBD,TBD,2026-03-02,2026-03-05,Oslo,Norway,https://ndc-security.com/,https://sessionize.com/ndc-security-2026,https://sessionize.com/ndc-security-2026,,In-Person,Europe/Oslo,Oslo 2026 Mar 2-5; CfP via Sessionize closes 12-07; workshops accepted; official ndc-security.com,2026-03-30,Mostly Fixed
NDC Toronto,Medium,Yes,Industry,Talks,Unknown,12-31,,,TBD,2026-05-01,2026-06-30,Toronto,Canada,https://sessionize.com/ndc-toronto-2026,,,,In-Person,America/Toronto,Vibe coding talk with Rico,2026-03-30,Unknown
NDSS Symposium,High,Yes,Academic,Talks,Unknown,08-06,,,TBD,2026-02-23,2026-02-27,San Diego,United States,https://www.ndss-symposium.org/ndss2026/submissions/call-for-papers/,,,,In-Person,America/Los_Angeles,2026 CFP is closed and fall cycle submission deadline was Aug 6 with 13-page main limit,2026-03-30,Mostly Fixed
Nullcon Goa,High,Yes,Industry,Talks|Workshops|Trainings,Yes,11-20,TBD,TBD,TBD,2026-02-28,2026-03-01,Goa,India,https://nullcon.net/goa-2026,https://nullcon.net/goa-2026,https://nullcon.net/,,In-Person,Asia/Kolkata,16th edition Feb 28-Mar 1 2026; CFP abstract deadline Nov 20 2025; Day Zero invite-only Feb 27; 2027 not yet announced,2026-04-01,Unknown
NorthSec,High,Yes,Industry,Talks|Workshops|Trainings|CTF|Villages|Panels,Partial,TBD,TBD,TBD,TBD,2027-05-20,2027-05-21,Montreal,Canada,https://www.nsec.io/,https://nsec.io/training-sessions/,,,In-Person,America/Toronto,Community-run nonprofit applied security week Montreal; 2027 per https://www.nsec.io/ trainings May 17-19 conference May 20-21 48h CTF May 21-23 Bonsecours Market; 1500+ attendees; talks streamed YouTube; 2026 CfP closed https://nsec.io/cfp/ pretalx https://cfp.nsec.io/; limited speaker travel; no sponsored talks; LinkedIn https://www.linkedin.com/company/northsec/,2026-06-01,Fixed
Oh My Hack,Medium,Yes,Industry,Talks|AI|Tech|Cybercrime|Threat Intelligence|Cyberwar,Unknown,03-15,TBD,TBD,TBD,2026-12-02,2026-12-02,Warsaw,Poland,https://omhconf.pl/,,,,In-Person,Europe/Warsaw,8th edition Dec 2 2026 PGE Narodowy Aleja Księcia Józefa Poniatowskiego 1; upgraded successor to What The H@ck; nonprofit Proidea organizer Kraków; program board Adam Haertle Zaufana Trzecia Strona; OMH 2025 1450 attendees 512 companies 65 speakers; registration Early Bird open omhconf.pl; CFP closed Mar 15 2026; https://www.linkedin.com/company/omhconf/,2026-06-01,Fixed
OrangeCon,Medium,Unknown,Industry,Talks|Workshops|Trainings|Villages,No,03-31,TBD,TBD,TBD,2026-06-04,2026-06-04,Amsterdam,Netherlands,https://orangecon.nl/,https://orangecon.nl/trainings/,,,In-Person,Europe/Amsterdam,OC2026 nonprofit Dutch community infosec con; conference Jun 4 2026 Meervaart Amsterdam; paid trainings Jun 1-3; villages talks workshops; CfP https://pretalx.com/orangecon-2026/cfp closed Mar 31 2026 23:59 CEST; no travel or expenses; complimentary pass if accepted; https://www.linkedin.com/company/orangecon/,2026-06-01,Fixed
Open Security Conference,Medium,Unknown,Mixed,Talks|Workshops|Panels,Unknown,TBD,TBD,TBD,TBD,2026-11-05,2026-11-08,Rückersbach,Germany,https://opensecurityconference.org/,,,,In-Person,Europe/Berlin,osco 2026 Nov 5-8 SeminarZentrum Rückersbach; Open Space format no upfront CFP program co-created onsite plus keynotes; community international people-centred; pre-registration open full registration TBA ticket incl meals lodging max €700; #osco26; https://www.linkedin.com/company/open-security-conference/,2026-06-01,Fixed
Out of The Box Jakarta,Medium,Yes,Industry,Talks,Unknown,03-01,,,TBD,TBD,TBD,Jakarta,Indonesia,https://cfp.directory/events/out-of-the-box-2026-jakarta,,,,In-Person,Asia/Jakarta,Added from backlog list (previously marked skipped),2026-03-30,Unknown
OWASP 25th Anniversary Virtual Conference,Medium,Yes,Industry,Talks,Unknown,TBD,TBD,TBD,TBD,2026-09-21,2026-09-21,Virtual,Global,https://owasp.org/events/,,,,Virtual,UTC,Added from provided OWASP AppSec Days event list as global virtual milestone event,2026-03-31,Unknown
OWASP AppSec Days France,Medium,No,Industry,Talks,Unknown,05-07,TBD,TBD,TBD,2026-09-24,2026-09-24,Paris,France,https://sessionize.com/owasp-appsec-days-france-2026,,,,In-Person,Europe/Paris,CFP opens March 8 closes May 7 2026; one-day event Sep 24 2026 in Paris,2026-04-01,Unknown
OWASP AppSec Days India,Medium,No,Industry,Talks|Mentorship,Unknown,TBD,TBD,TBD,TBD,2026-11-21,2026-11-22,Virtual,India,https://owasp.org/events/,,,,Virtual,Asia/Kolkata,Added from provided OWASP AppSec Days event list as virtual two-day India conference,2026-03-31,Unknown
OWASP AppSec Days Portugal,High,No,Industry,Talks|Workshops|Trainings|CTF,Unknown,05-09,04-24,TBD,TBD,2026-09-23,2026-09-24,Porto,Portugal,https://sessionize.com/owasp-appsecportugalcfp-2026/,,https://appsecdays.pt/,,In-Person,Europe/Lisbon,OWASP regional AppSec Days; Sep 23-24 2026 Fundação António Cupertino de Miranda Porto; ~400-500 attendees 15+ talks 2 tracks CTF; CFP extended final close May 9 2026 now closed 54 submissions per appsecdays.pt; CfT closed Apr 24 2026 program announcement Jun 1; tickets coming soon; co-organized by OWASP chapters Portugal; https://www.linkedin.com/company/owasp-appsec-days-portugal/,2026-06-01,Fixed
OWASP AppSec Israel,High,Yes,Industry,Talks|Workshops,Unknown,03-06,TBD,TBD,TBD,2026-05-18,2026-05-18,Tel Aviv,Israel,https://appsecil.org/,,https://appsecil.org/,,In-Person,Asia/Jerusalem,AppSecIL 2026 May 18 Tel Aviv Expo Pavilion 10 full-day; 1000+ attendees vendor-neutral appsec devsecops AI security; 2026 concluded CFP Sessionize closed Mar 6 2026; agenda released post-CfP; OWASP Israel chapter; watch appsecil.org for 2027; https://sessionize.com/appsecil-2026/,2026-06-01,Fixed
OWASP AppSec Italy Day,Medium,No,Industry,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-06-18,2026-06-18,Cagliari,Italy,https://owasp.org/www-chapter-italy/events/OWASPItalyDay2026-06-18,,https://owasp.org/events/,,In-Person,Europe/Rome,Free one-day conference Jun 18 2026 in Cagliari Sardinia; trainings Jun 17-18; CFP exists but no deadline published,2026-04-01,Unknown
OWASP BASC,Medium,No,Industry,Talks|Workshops,Unknown,01-11,TBD,TBD,TBD,2026-04-11,2026-04-11,Cambridge,United States,https://sessionize.com/owasp-basc-2026/,,https://owasp.org/events/,,In-Person,America/New_York,CFP closed Jan 11 2026; one-day event Apr 11 2026 at Boston Marriott Cambridge,2026-04-01,Unknown
OWASP BeNeLux Days,Medium,Unknown,Mixed,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-11-26,2026-11-27,Amsterdam,Netherlands,https://2026.owaspbenelux.eu/,,,,In-Person,Europe/Amsterdam,2026 Nov 26 conference Nov 27 training Amsterdam Netherlands; annual rotation Belgium Netherlands; free conference registration required €50 training; 2025 concluded Dec 2-3 Lamot Mechelen Belgium; CFP not published stay tuned on 2026 site; OWASP Belgium Netherlands chapters; https://www.linkedin.com/company/owasp-benelux-days/; https://www.owaspbenelux.eu/,2026-06-01,Rotating
OWASP Frankfurt,Medium,No,Mixed,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,TBD,TBD,Frankfurt,Germany,https://owasp.org/www-chapter-frankfurt/,,https://owasp.org/www-chapter-frankfurt/,,In-Person,Europe/Berlin,Imported from provided conference history list,2026-03-30,Mostly Fixed
OWASP Global AppSec Europe,High,Yes,Mixed,Talks|Trainings|Workshops,Unknown,02-03,12-12,TBD,TBD,2026-06-22,2026-06-26,Vienna,Austria,https://sessionize.com/owasp-global-appsec-eu-2026-cfp-wash/,https://sessionize.com/owasp-global-appsec-2026EU/,,,In-Person,Europe/Vienna,Merged EU series row (Lisbon 2024 + Barcelona 2025 + Vienna 2026); using latest verified cycle details,2026-03-30,Rotating
OWASP Global AppSec USA 2026,High,Yes,Mixed,Talks|Trainings|Workshops,Unknown,06-29,04-01,TBD,TBD,2026-11-05,2026-11-06,San Francisco,United States,https://sessionize.com/owasp-global-appsec-us-2026-cfp-SF/,https://sessionize.com/owasp-global-appsec-USA-SF-2026-c/,,,In-Person,America/Los_Angeles,OWASP 25th anniversary 2026 USA largest US AppSec conference; conference Nov 5-6 trainings Nov 2-4 Hyatt Regency San Francisco Embarcadero Center 5; CFP https://sessionize.com/owasp-global-appsec-us-2026-cfp-SF/ open closes Jun 29 2026 23:59 PDT opened Apr 8; notifications week of Jul 27 2026 program week of Aug 3 2026; 45 min talks plus 5-10 min Q&A blind review no AI-generated submissions free for speakers; tracks planning-design implementation testing deployment-maintenance process-culture OWASP project showcase demo room; CfT closed Apr 1 2026; register https://owasp.glueup.com/event/owasp-2026-global-appsec-usa-san-francisco-ca-167174/,2026-06-01,Rotating
OWASP Global AppSec USA 2027,High,Yes,Mixed,Talks|Trainings|Workshops,Unknown,TBD,TBD,TBD,TBD,2027-09-20,2027-09-24,Atlanta,United States,https://owasp.org/events/,,,,In-Person,America/New_York,OWASP Global AppSec USA 2027 Atlanta GA Sep 20-24 2027 per OWASP Foundation events calendar; US flagship rotates after 2026 San Francisco Nov 2025 Washington DC; venue CfP CfT GlueUp registration not yet published Jun 2026; expect trainings plus conference days similar to prior USA editions; watch owasp.org/events and globalappsec.org,2026-06-01,Rotating
OWASP Global AppSec Washington DC,High,Yes,Mixed,Talks|Trainings|Workshops,Unknown,06-24,03-16,TBD,TBD,2025-11-06,2025-11-07,Washington DC,United States,https://sessionize.com/owasp-global-appsec-USA-2025-cfp2,https://sessionize.com/owasp-global-appsec-us-2025-cft,https://globalappsec.org/,,In-Person,America/New_York,Official Sessionize pages show CFP closed June 24 2025 and CfT closed March 16 2025; conference Nov 6-7 with training Nov 3-5,2026-03-31,Rotating
OWASP MAScon,Medium,No,Mixed,Talks,Unknown,02-03,TBD,TBD,TBD,2026-06-25,2026-06-25,Vienna,Austria,https://mas.owasp.org/news/2026/03/20/owasp-mascon-is-here/,,,,In-Person,Europe/Vienna,First OWASP MAS mobile app security conference within Global AppSec EU 2026 Austria Center Vienna; half-day track Thu Jun 25 2026 Sched MobileAppSecCon; parent event trainings Jun 22-24 conference Jun 25-26; CFP via sessionize.com/owasp-global-appsec-eu-2026-cfp-wash MOBILEAPPSECCON track closed Feb 3 2026; organizers Carlos Holguera and Sven Schleier; schedule owaspglobalappseceuvienna20.sched.com/2026-06-25/overview/type/MobileAppSecCon; distinct from masCon at next.app devCon Berlin Oct 2026,2026-06-01,Mostly Fixed
OWASP LASCON,Medium,Yes,Industry,Workshops,Unknown,06-08,06-08,TBD,TBD,2026-10-29,2026-10-30,Austin,United States,https://sessionize.com/owasp-lascon-2026/,https://sessionize.com/owasp-lascon-2026-training/,,,In-Person,America/Chicago,"Talks CFP Sessionize owasp-lascon-2026 closes Jun 8 2026 23:59 CDT opens Apr 1; training CFP sessionize.com/owasp-lascon-2026-training/ closes Jun 8 2026; trainings Oct 27-28 conference talks Oct 29-30 Norris Conference Center Austin; trainer payout per Sessionize; no travel comp for trainers",2026-06-01,Mostly Fixed
OWASP SnowFROC,Medium,No,Industry,Talks|Trainings|Workshops|CTF,Unknown,02-01,01-05,TBD,TBD,2026-04-16,2026-04-17,Denver,United States,https://sessionize.com/OWASP-SNOWFROC-2026/,https://sessionize.com/owasp-snowfroc-2026-training/,,,In-Person,America/Denver,SnowFROC Front Range OWASP Conference presented by Denver and Boulder OWASP chapters; first two-day edition Apr 16-17 2026 University of Denver Cable Center theme Taxing the Threat Actors; Apr 16 training day Apr 17 talks ~400 attendees; CFP Sessionize closed Feb 1 2026 CfT closed Jan 5 2026; main-stage CTF in sponsor hall electronic badges; 2026 concluded recordings https://snowfroc.com/; https://www.linkedin.com/company/snowfroc/,2026-06-01,Fixed
PAM,Medium,No,Academic,Talks,Unknown,10-15,,,TBD,2026-03-23,2026-03-25,Virtual,Austria,https://pam2026.at/cfp/,,,,Virtual,UTC,PAM 2026 was a fully virtual event Mar 23-25 2026 organized by IT:U Austria; paper deadline Oct 15 2025,2026-04-01,Rotating
PLDI,Medium,Yes,Academic,Talks,Unknown,11-13,,,TBD,2026-06-17,2026-06-19,Boulder,United States,https://pldi26.sigplan.org/dates,,,,In-Person,America/Denver,47th ACM SIGPLAN PLDI; workshops Jun 15-16 main conference Jun 17-19 2026 at Limelight Boulder CO; submission deadline Nov 13 2025,2026-04-01,Rotating
POPL,Medium,Yes,Academic,Talks,Unknown,07-09,,,TBD,2027-01-10,2027-01-16,Mexico City,Mexico,https://popl27.sigplan.org/dates,,,,In-Person,America/Mexico_City,Research paper deadline Jul 9 2026 listed on official POPL 2027 dates page,2026-03-30,Rotating
